"id","title"
"OL9623655W","Simulation in Cim and Artificial Intelligence Techniques, Proceedings of the European Simulation Multiconference July 7-10, 1987, Wirtschaftsuniversi"
"OL11817426W","Current topics in artificial intelligence"
"OL12343094W","From synapses to rules"
"OL13595146W","First International Symposium on Cyber Worlds"
"OL15183947W","The Hunger of Time"
"OL16296208W","Artificial intelligence"
"OL16641059W","Evolution, learning, and cognition"
"OL16643574W","Evolutionary computation, machine learning and data mining in bioinformatics"
"OL16724592W","New frontiers in artificial intelligence"
"OL16767676W","Learning spaces"
"OL16920943W","Data Mining and Multi-agent Integration"
"OL16925698W","Towards Intelligent Engineering and Information Technology"
"OL16940361W","Metaphor and symbol"
"OL16942723W","Intelligent Decision Systems in Large-Scale Distributed Environments"
"OL16944343W","Advances Concepts for Intelligent Vision Systems"
"OL16963797W","Transactions on Edutainment III"
"OL16989757W","Artificial intelligence and symbolic computation"
"OL17380753W","Knowledge Skill And Artificial Intelligence"
"OL2720307W","AI*IA 2001"
"OL3679088W","Proceedings / Second International Conference on Artificial Intelligence Planning Systems"
"OL4505540W","The hitch-hiker's guide to artificial intelligence"
"OL4624597W","Heuristics"
"OL4807804W","Artificial intelligence in manufacturing"
"OL4968453W","Manufacturing intelligence"
"OL5481955W","Natürlichsprachliche Argumentation in Dialogsystemen"
"OL9078115W","Advances in Artificial Intelligence"
"OL11163968W","Applying knowledge compilation techniques to model-based reasoning"
"OL13412510W","Proceedings, the 11th Conference on Artificial Intelligence for Applications"
"OL14981671W","WWW"
"OL16936921W","Theorem Proving in Higher Order Logics"
"OL16941585W","Advances in Computing and Communications"
"OL16966630W","Integration of AI and OR techniques in constraint programming for combinatorial optimization problems"
"OL16982427W","Intelligent Robotics and Applications"
"OL17920776W","Applications in artificial intelligence"
"OL1984277W","Advanced topics in artificial intelligence"
"OL3028708W","Epistemologische und wissenssoziologische Aspekte maschineller Wissensverarbeitung"
"OL3188059W","Nouvelles logiques pour l'intelligence artificielle"
"OL3337107W","Intelligent multimedia systems"
"OL3923139W","Paradise mislaid"
"OL4106735W","EPIA '91"
"OL4621193W","Artificial intelligence and other innovative computer applications in the nuclear industry"
"OL5473544W","Artificial intelligence"
"OL6087449W","Matching and abstraction in knowledge systems"
"OL8253268W","Artificial Intelligence and Intelligent Tutoring Systems"
"OL8505824W","Artificial Intelligence Illuminated"
"OL890613W","Artificial intelligence"
"OL8947664W","AI and artificial life in video games"
"OL10974641W","Report of the first UK Workshop on Education and Training in Artificial Intelligence [held at the] University of Reading, September 22nd-23rd 1988"
"OL11852485W","Hypothesizing and refining causal models"
"OL12355730W","Mechanisms, symbols, and models underlying cognition"
"OL12833054W","The Third Conference on Artificial Intelligence Applications"
"OL13371478W","Neural networks and a new artificial intelligence"
"OL13761260W","Artificial intelligence applications and innovations"
"OL16944558W","Computational Intelligence in Engineering"
"OL16958094W","Atomic Force Microscopy Based Nanorobotics"
"OL16981618W","Music-Inspired Harmony Search Algorithm"
"OL17984519W","Foundations of knowledge base management"
"OL2038460W","Darwin among the machines"
"OL2831940W","Wissensbasierte Diagnose von Industrieunternehmen"
"OL2971752W","Inheritance theory"
"OL3262811W","Computation and human experience"
"OL3486060W","A new guide to artificial intelligence"
"OL4086320W","Knowledge representation and language in AI"
"OL4895975W","Artificial intelligence enters the marketplace"
"OL5151267W","Elemente de inteligență artificială pentru conducerea operativă a producției"
"OL716848W","Metamagical Themas"
"OL8961016W","Stochastic Models of Neural Networks (Frontiers in Artificial Intelligence and Applications, Vol. 102)"
"OL9273468W","Artificial Intelligence and Cognitive Sciences (Proceedings in Nonlinear Science Series)"
"OL9830805W","Artificial Intelligence Applications"
"OL12362685W","Progress in artificial intelligence"
"OL13360725W","Trends in artificial intelligence"
"OL15547047W","Infectress"
"OL15762448W","Third Conference on Artificial Intelligence for Space Applications, Part I"
"OL16008187W","Concept lattices"
"OL16930301W","Artificial intelligence and symbolic computation"
"OL16946173W","Digital Libraries: For Cultural Heritage, Knowledge Dissemination, and Future Creation"
"OL16956459W","Advances in Computer Science, Environment, Ecoinformatics, and Education"
"OL16958004W","Adaptive and Natural Computing Algorithms"
"OL16970451W","Perspectives of Neural-Symbolic Integration"
"OL17488450W","Logic For Programming Artificial Intelligence And Reasoning 15th International Conference Lpar 2008 Doha Qatar November 2227 2008 Proceedings"
"OL2356178W","Osnovy estestvennogo intellekta"
"OL2710037W","Artificial intelligence"
"OL2995894W","Applications of artificial intelligence in engineering X"
"OL3370975W","Proceedings"
"OL3950012W","The mind in action"
"OL4854823W","Bare plurals, naked relatives, and their kin"
"OL5059195W","Proceedings of the ACM SIGART International Symposium on Methodologies for Intelligent Systems"
"OL6087450W","The meaning and mechanics of intelligence"
"OL6428457W","The seeds of artificial intelligence"
"OL8097563W","Modelling for control using artificial intelligence techniques (structural and learning approaches)"
"OL9076097W","High-Dynamic-Range (HDR) Vision"
"OL126120W","After thought"
"OL15305312W","Expert systems and micros"
"OL16403503W","GWAI-87"
"OL16436774W","Intellektualʹnye prot︠s︡essy i ikh modelirovanie"
"OL3038799W","Cooperation in industrial multi-agent systems"
"OL3255868W","Edges of reality"
"OL3294193W","Object-oriented artificial intelligence using C[plus plus]"
"OL3496658W","Human memory modeled with standard analog and digital circuits"
"OL4742640W","Rapid prototyping facility for flight research in artificial-intelligence-based flight systems concepts"
"OL4782482W","Integration of visual modules"
"OL4960211W","Logical foundations of artificial intelligence"
"OL5356455W","Artificial Intelligence-An Overview"
"OL7794954W","2000 IEEE Intelligent Network Workshop proceedings"
"OL862853W","Applying artificial intelligence techniques to strategic-level gaming and simulation"
"OL9157780W","Developments in Artificial Intelligence for Civil and Structural Engineering"
"OL9644491W","Innovative Applications of Artificial Intelligence (Innovative Applications of Artificial Intelligence 7)"
"OL10991537W","Evolution, games and learning"
"OL11167029W","MATE: the Multi-Agent Test Environment"
"OL12539911W","ACM '84"
"OL13150278W","Proceedings"
"OL13392894W","Proceedings of the AI91"
"OL1424993W","Eidolyzer"
"OL16114442W","Decision theory models for applications in artificial intelligence"
"OL16915311W","Ambient Intelligence"
"OL16931748W","Foundations of intelligent systems"
"OL16940032W","Systems and human science, for safety, security, and dependability"
"OL3130849W","Osnovy semanticheskogo kodirovanii︠a︡"
"OL3936582W","Introduction to artificial intelligence"
"OL4813312W","Keyguide to information sources in artificial intelligence/expert systems"
"OL5126354W","The fifth generation challenge"
"OL5613364W","Robotics, artificial intelligence, computer simulation"
"OL6040453W","IEEE/WIC International Conference on Intelligent Agent Technology"
"OL9508949W","Reset! or, talking about thinking"
"OL10418132W","Artificial intelligence and heuristic programming"
"OL12341021W","MICAI 2002"
"OL13502751W","Les sciences cognitives en débat"
"OL13826530W","Apocalyptic AI"
"OL14923649W","Superluminal"
"OL16918858W","Natural Computing in Computational Finance"
"OL16931877W","Evolvable Systems: From Biology to Hardware"
"OL16933251W","Logic for programming, artificial intelligence, and reasoning"
"OL16946839W","Human Modelling in Assisted Transportation"
"OL16947285W","Machine Learning in Medical Imaging"
"OL16961443W","Advancing Computing, Communication, Control and Management"
"OL16963823W","Case-based reasoning research and development"
"OL17101523W","Introduction to Soft Computing"
"OL2959044W","New computing techniques in physics research IV"
"OL3915496W","From animals to animats 2"
"OL4316294W","Automated reasoning"
"OL450249W","Conceptual coordination"
"OL5369420W","Knowledge-based interpretation of outdoor natural color scenes"
"OL9383194W","On the modelling of creative behavior"
"OL11558740W","Integrating spatial information into clustering analysis"
"OL11673966W","Smart graphics"
"OL12054869W","Parallel applications and solutions in artificial intelligence and expert systems"
"OL12807551W","Gadget"
"OL13613579W","ARTIFICIAL INTELLIGENCE: A BEGINNERS'S GUIDE"
"OL15409037W","Trust theory"
"OL15941117W","Me"
"OL15946404W","Proceedings of special session"
"OL16108751W","Applying artificial intelligence to the scheduling of flexible manufacturing systems"
"OL16406985W","Formy predstavlenii︠a︡ znaniĭ i tvorcheskoe myshlenie"
"OL16945587W","Knowledge-Based and Intelligent Information and Engineering Systems"
"OL16945622W","Computational Collective Intelligence. Technologies and Applications"
"OL16951010W","Handbook of virtual humans"
"OL16976808W","Conceptual Structures: Leveraging Semantic Technologies"
"OL16987909W","Advances on Practical Applications of Agents and Multiagent Systems"
"OL1974702W","Designing artificial intelligence based software"
"OL4289467W","Intelligent computer aided design"
"OL4451820W","Logics for artificial intelligence"
"OL4469687W","Incremental version-space merging"
"OL5743922W","Logics in artificial intelligence"
"OL8019257W","Building Blocks of Artificial Intelligence, 1956-1986"
"OL8599984W","Artificial Intelligence Abstracts Annual, 1991"
"OL8978488W","Beyond AI"
"OL9359468W","Computers & Artificial Intelligence"
"OL9719785W","The Shan Creek Gang Chronicle's Book 1 New Beginnings"
"OL11563220W","Collected notes from the Benchmarks and Metrics Workshop (NASA Ames, June 25, 1990)"
"OL13619855W","Creativity and artificial intelligence"
"OL13642110W","Agent-oriented information systems II"
"OL16918746W","Encyclopedia of artificial intelligence"
"OL16924158W","Advanced computational intelligence paradigms in healthcare 1"
"OL16931721W","Machine Learning and Data Mining in Pattern Recognition"
"OL16946305W","Informatics Engineering and Information Science"
"OL16948615W","Cooperative Control of Dynamical Systems"
"OL16948659W","Text, Speech and Dialogue"
"OL16949924W","Knowledge technologies"
"OL16960020W","Progress in Robotics"
"OL16965052W","Proceedings"
"OL16965427W","RoboCup 2000"
"OL17195050W","Artificial Intelligence"
"OL17550174W","Agents and Data Mining Interaction
            
                Lecture Notes in Artificial Intelligence"
"OL17914611W","Artificial intelligence"
"OL18149180W","Artificial intelligence in structural engineering"
"OL1911980W","Associative learning for a robot intelligence"
"OL4024285W","Vorm of inhoud"
"OL4101175W","Inferred functions of performance and learning"
"OL4135521W","First International Conference on Artificial Intelligence Applications on Wall Street"
"OL4179914W","Denken und Denken lassen"
"OL5765871W","SCAI '04, soft computing based artificial intelligence"
"OL6209752W","Creating the semantic web with RDF"
"OL7940254W","Artificial Intelligence for Games (The Morgan Kaufmann Series in Interactive 3D Technology)"
"OL8324499W","Conceptual Spaces"
"OL9009911W","Introducing Artificial Intelligence (Introducing...)"
"OL11546086W","PC graphics generation and management tool for real-time applications"
"OL11567124W","A.I.-based real-time support for high performance aircraft operations"
"OL11748150W","Réseaux de neurones artificiels"
"OL12267333W","STUDIES OF A PROTOTYPE NURSE EXPERT SYSTEM: UROLOGICAL NURSING INFORMATION SYSTEM"
"OL12301028W","Agent-oriented information systems III"
"OL12318336W","Models of belief for decidable reasoning in incomplete knowledge bases"
"OL12343592W","Control applications in post-harvest and processing technology 2001"
"OL16011419W","WWW"
"OL16282633W","Smart graphics"
"OL16942052W","Artificial Intelligence and Computational Intelligence"
"OL16942492W","Combinatorial Machine Learning"
"OL16957528W","Journal on Data Semantics XII"
"OL16963299W","Advanced Computer Science and Information Technology"
"OL16967343W","Developments in applied artificial intelligence"
"OL16982513W","Agent technology and e-health"
"OL17465237W","Affect And Artificial Intelligence"
"OL2624790W","Systemic Functional Grammar & Natural Language Generation (Communication in Artificial Intelligence)"
"OL2770738W","Sixth Scandinavian Conference on Artificial Intelligence"
"OL2942148W","Artificial intelligence and scientific method"
"OL3333712W","Brain-mind machinery"
"OL3501791W","Learning and coordination"
"OL3596489W","Intelligenza artificiale"
"OL3742424W","The elements of artificial intelligence using common LISP"
"OL4633024W","Artificial intelligence, expert systems, and languages in modelling and simulation"
"OL5452383W","Artificial Intelligence (Science at the Edge)"
"OL6220945W","Prospects for artificial intelligence"
"OL6243696W","Diritto e cyberspace"
"OL7939730W","Associative Networks"
"OL11148045W","Computational intelligence and its impact on future high-performance engineering systems"
"OL11764698W","Human level artificial intelligence"
"OL12403332W","Proceedings of CSCL '97"
"OL13393078W","Introduction to artificial intelligence"
"OL13686888W","Advances in artificial intelligence"
"OL16939525W","Logic and Grammar"
"OL16939994W","Image Analysis and Recognition"
"OL16940936W","Autonomous and Intelligent Systems"
"OL16941966W","Intelligent Computer Mathematics"
"OL16989823W","Artificial intelligence"
"OL2917932W","Scientific temperaments"
"OL3837819W","Künstliche Intelligenz und Entscheidungstheorie"
"OL4092084W","AIME 91"
"OL4216921W","Myshlenie i avtomaty"
"OL4786354W","Elements of argumentation"
"OL8057502W","Neuroscience: From Neural Networks to Artificial Intelligence"
"OL8712575W","Readings in Artificial Intelligence"
"OL9157773W","The Application of Artificial Intelligence Techniques to Civil and Structural Engineering"
"OL10058481W","GWAI-89. 13th German Workshop on Artificial Intelligence"
"OL11178908W","Making intelligent systems team players"
"OL11259706W","The use of learning theory in the application of artificial intelligence to computer-based instruction of physics"
"OL15400395W","Artificial intelligence"
"OL15971024W","The super-intelligent machine"
"OL16499945W","Intelligent robots and computer vision XXVIII"
"OL16616829W","Zarisovki po istorii kompʹi︠u︡ternykh nauk"
"OL16924645W","Distributed Intelligent Systems"
"OL16931078W","AI*IA 2007: Artificial Intelligence and Human-Oriented Computing"
"OL16933212W","Multi-Agent and Multi-Agent-Based Simulation"
"OL16941749W","Chaos-Based Cryptography"
"OL16970378W","Computer Vision – ACCV 2009"
"OL2628877W","Artificial Intelligence and Human Reason"
"OL3501788W","Designing intelligence"
"OL3796863W","Simposio de Inteligencia Artificial y Robótica"
"OL3911367W","The Turing test and the frame problem"
"OL4359564W","Quality use of the computer"
"OL4454629W","Computer-based instruction"
"OL4776101W","Future mind"
"OL9830819W","Soars As a Unified Framework for Learning (The Stanford Computer Science Video Journal : Artificial Intelligence Research Lectur)"
"OL11210779W","Practice and theory of automated timetabling III"
"OL12355743W","Modeling decisions for artificial intelligence"
"OL13761187W","Artificial intelligence, automated reasoning, and symbolic computation"
"OL15408875W","Manufacturing intelligence for industrial engineering"
"OL16148664W","Intelligent systems for knowledge management"
"OL16933204W","Smart graphics"
"OL16973590W","Creating Brain-Like Intelligence"
"OL2062403W","International Conference on Tools for Artificial Intelligence"
"OL3514822W","Experiments in induction"
"OL4090255W","Robot intelligence ... with experiments"
"OL4812172W","Artificial intelligence and Turbo Pascal"
"OL5092340W","Artificial ethics"
"OL5356464W","Intelligent machines"
"OL9247663W","Artificial Intelligence Through Search"
"OL10373852W","Ren gong zhi neng jun shi ying yong jiao cheng"
"OL11007569W","IJCAI-83"
"OL12718624W","The nature of AI principles"
"OL13150829W","Proceedings of the 2001 IEEE International Symposium on Intelligent Control"
"OL13590410W","Seventh Scandinavian Conference on Artificial Intelligence"
"OL15976342W","The assumption of agency theory"
"OL16626598W","Cognitive communications"
"OL16641049W","Readings in artificial intelligence and databases"
"OL16714691W","Learning automata"
"OL16920827W","Innovations in Bayesian Networks"
"OL16932150W","Interactive Technologies and Sociotechnical Systems"
"OL16942441W","Toward Autonomous, Adaptive, and Context-Aware Multimodal Interfaces. Theoretical and Practical Issues"
"OL16957106W","Mobile Networks and Management"
"OL16962094W","Artificial intelligence applications for improved software engineering development"
"OL16969297W","Advances in Computing, Communication and Control"
"OL2660844W","Recognition"
"OL3505157W","Artificial intelligence"
"OL3940910W","Nonmonotonic logic"
"OL4230065W","Schwache Signale und künstliche Intelligenz im strategischen Issue Management"
"OL4794868W","Advances in Applied Artificial Intelligence (Computational Intelligence and Its Applications) (Computational Intelligence and Its Applications)"
"OL5013735W","Techniques algorithmiques pour l'intelligence artificielle"
"OL5754414W","ROSE' 03"
"OL7037591W","Artificial and human thinking"
"OL8132839W","Information Modelling and Knowledge Bases Xiii (Frontiers in Artificial Intelligence and Applications, 73)"
"OL8613109W","Artificial Intelligence and Soft Computing (Series on Artificial Intelligence & Soft Computing)"
"OL10928099W","Selection of discriminating characteristics by partial similarity  for the two class recognition problem of artificial intelligence"
"OL11210162W","ECAI-82 1982 European conference on artificial intelligence"
"OL11562386W","Cooperating intelligent systems"
"OL13437921W","Proceedings"
"OL13450360W","Knowledge based systems in architecture"
"OL15158888W","The Artificial intelligence compendium"
"OL16324381W","Using an artificial intelligence system to evaluate business loans"
"OL16641084W","Inside computer understanding"
"OL16993231W","Innovative Computing and Information"
"OL17305495W","Artificial Intelligence – Agents and Environments"
"OL17832593W","The mechanical mind in history"
"OL17885708W","Extinction"
"OL2274909W","Intelligent technologies in library and information service applications"
"OL2863680W","Knowledge management"
"OL3281401W","Defending AI research"
"OL3453093W","A connectionist language generator"
"OL3671547W","Proceedings of the International Workshop on Artificial Intelligence Applications in Solar-Terrestrial Physics"
"OL4112515W","Updates and subjunctive queries"
"OL4171101W","La simulazione del comportamento"
"OL4387793W","Advanced Computer Aids in the Planning and Execution of Air Warfare and Ground Strike Operations"
"OL4595297W","Biological and artificial intelligence"
"OL4845538W","Building up a neural network sociotechnical constituency"
"OL5743767W","KI 2004"
"OL11259702W","Microcomputer based EEG analysis using artificial intelligence methods"
"OL11451227W","Application of a bayesian network to integrated circuit tester diagnosis"
"OL11869181W","Artificial intelligence research and development"
"OL15519875W","Symbolic and quantitative approaches to reasoning with uncertainty"
"OL16930600W","Algorithmic Methods for Railway Optimization"
"OL16934411W","Transactions on Rough Sets V"
"OL16943556W","Information and Management Engineering"
"OL16969347W","Human-Computer Interaction, Tourism and Cultural Heritage"
"OL16974914W","Dynamic Business Process Formation for Instant Virtual Enterprises"
"OL17420452W","Multimodal Processing And Interaction Audio Video Text"
"OL18157577W","Distributed artificial intelligence"
"OL1969986W","Progress in artificial intelligence"
"OL3365348W","Sixth, Seventh, and Eighth Workshops on Virtual Intelligence: Academic/Industrial/NASA/Defense"
"OL3821895W","Konnektionismus"
"OL4454702W","A many-valued approach to deduction and reasoning for artificial intelligence"
"OL6985990W","Artificial intelligence"
"OL11674320W","Theorem proving in higher order logics"
"OL13574679W","Information resources management"
"OL16349643W","Inferenzen in natürlichsprachlichen Systemen der KI"
"OL16614602W","SNPD 2009"
"OL16626676W","Intelligent planning for mobile robotics"
"OL16930494W","Artificial Intelligence and Soft Computing - ICAISC 2006"
"OL16959693W","Optimal Models and Methods with Fuzzy Quantities"
"OL16983085W","Transactions on Computational Collective Intelligence II"
"OL18151123W","Artificial intelligence and national security"
"OL187705W","The search for the robots"
"OL3293196W","Logics in artificial intelligence"
"OL3346096W","Artificial intelligence, CS440a"
"OL5255710W","The Question of Artificial Intelligence"
"OL5489843W","Cost estimation of sewage treatment systems using artificial intelligence"
"OL6564961W","Formal Techniques in Artificial Intelligence"
"OL9075170W","Artificial Mind System"
"OL10554127W","Artificial intelligence on the Commodore 64"
"OL11674419W","Knowledge-based intelligent information and engineering systems: KES 2007 - WIRN 2007"
"OL13044188W","Tonari no andoroido"
"OL13303283W","EUFIT '98"
"OL15472705W","2009 International Conference on Adaptive and Intelligent Systems ; ICAIS 2009 ; Proceedings"
"OL16179436W","Inteligentní modely, algoritmy, metody a nástroje pro vytváření sémantického webu"
"OL16354978W","Künstliche Intelligenz"
"OL16919979W","Semiotics and intelligent systems development"
"OL16925990W","Machine Learning and Knowledge Discovery in Databases"
"OL16941211W","Advances in Swarm Intelligence"
"OL16946687W","Recent Advances in Intelligent Engineering Systems"
"OL16963255W","Logic Programming"
"OL17573642W","Artificial Intelligence and Education Vol 1 Learning Environments and Tutoring Systems
            
                Artificial Intelligence and Education"
"OL17761698W","The Medusa Chronicles"
"OL2645849W","Conceptual information retrieval"
"OL3472664W","Qualitative reasoning"
"OL5353330W","Achieving artificial intelligence through building robots"
"OL5442661W","Intelligent knowledge-based systems"
"OL8003858W","Language and Meaning in Cognitive Science: Cognitive Issues and Semantic theory (Artificial Intelligence and Cognitive Science: Conceptual Issues)"
"OL11674186W","Recent advances in constraints"
"OL11995151W","1999 Workshop on Knowledge and Data Engineering Exchange (KDEX '99)"
"OL13410489W","AI"
"OL13531173W","La inteligencia artificial"
"OL16304242W","Applications of artificial intelligence to planning and scheduling in flexible manufacturing"
"OL16380080W","Dialogovye sistemy i predstavlenie znaniĭ"
"OL16382833W","Mekhanika i upravlenie dvizheniem robotov s élementami iskusstvennogo intellekta"
"OL16698576W","SNPD 2010"
"OL16990555W","Communication and Networking"
"OL17435695W","Pricai 2012 Trends In Artificial Intelligence 12th Pacific Rim International Conference On Artificial Intelligence Kuching Malaysia September 3 7 2012 Proceedings"
"OL1761143W","Daivaṃ, manuṣyan, yantr̲aṃ"
"OL3947301W","Thinking between the lines"
"OL4087468W","Dependability of artificial intelligence systems (DAISY 91)"
"OL4967810W","A connectionist machine for genetic hillclimbing"
"OL5741013W","Intelligent information processing and web mining"
"OL8556591W","Selected artificial intelligence techniques in information retrieval systems research"
"OL8839160W","Artificial intelligence project"
"OL10080794W","Virtual Reality and Multimedia (Frontiers in Artificial Intelligence and Applications)"
"OL13672156W","Thinking machines"
"OL16923392W","Recent advances in design and decision support systems in architecture and urban planning"
"OL16972909W","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2009"
"OL16983844W","Uncertainty Theory"
"OL2087605W","Artificial intelligence, 1986-1989"
"OL3019188W","ECAI 94, 11th European Conference on Artificial Intelligence, August 8-12, 1994, Amsterdam, the Netherlands"
"OL3512915W","Machinery of the mind"
"OL3841938W","Nechetkoe otnoshenie modelirovanii͡a︡ i ego primenenie v psikhologii i iskusstvennom intellekte"
"OL4274005W","Toward a practice of autonomous systems"
"OL495586W","Mathematical methods in artificial intelligence"
"OL6137780W","Mecanismele inteligenței"
"OL8048400W","Ghosts of Onyx (Halo)"
"OL8694353W","Proceedings of the Third International Conference on Artificial Intelligence Planning Systems"
"OL12506187W","Multi-agent systems"
"OL1311223W","Learning machines"
"OL13226682W","1997 First International Conference on Knowledge-Based Intelligent Electronic Systems"
"OL13780199W","Diagrammatic reasoning in AI"
"OL15595922W","Interactive storytelling"
"OL16166822W","Fusion methods for unsupervised learning ensembles"
"OL16533169W","We think, therefore we are"
"OL16668559W","Guide to intelligent data analysis"
"OL16679319W","Intelligent automation and computer engineering"
"OL16924781W","Historical dictionary of quotations in cognitive science"
"OL16935017W","Text, Speech and Dialogue (vol. # 4188)"
"OL16946114W","Modeling and Using Context"
"OL16951792W","Advances in Computer Science and Information Technology"
"OL16955103W","Building Innovation Pipelines through Computer-Aided Innovation"
"OL16997233W","Reasoning, action and interaction in AI theories and systems"
"OL17559652W","Artificial Intelligence
            
                Studies in Cognitive Systems V 4"
"OL1822941W","Search and planning under incomplete information"
"OL2710735W","Formalism in AI and computer science"
"OL3276636W","Intelligent systems and soft computing for nuclear science and industry"
"OL4035041W","Methoden der künstlichen Intelligenz zur Lösung des Prognoseproblems bei der Unternehmensbewertung"
"OL4575213W","Convention IA 90"
"OL5854481W","Artificial intelligence in logic design"
"OL6105029W","Artificial intelligence"
"OL8233074W","Encyclopedia of Artificial Intelligence"
"OL8362808W","A Many-Valued Approach to Deduction and Reasoning for Artificial Intelligence"
"OL9008282W","Les représentations sémantiques en terminologie"
"OL9166029W","Immunity-based systems"
"OL9386537W","Artificial Intelligence Reports from the University of Pennsylvania"
"OL9507107W","Tools With Artificial Intelligence (Ictai 2000): 12th IEEE International Conference (International Conference on Tools With Artificial Intelligence//Proceedings)"
"OL9817291W","Artificial Intelligence for Engineering Design and Manufacturing"
"OL10058380W","Methods and Applications of Artificial Intelligence"
"OL11314124W","Alien intelligence"
"OL11779338W","2006 IEEE International Conference on engineering of intelligent systems"
"OL12240558W","Fuzzy logic and intelligent technologies in nuclear science and industry"
"OL13412514W","Proceedings, Second International Conference on Cognitive Technology"
"OL16240507W","Mining the social web"
"OL16679015W","Agent and multi-agent systems"
"OL16931308W","Pattern Recognition"
"OL16943312W","Logic and Games on Automatic Structures"
"OL16965778W","Advances in artificial intelligence"
"OL16966447W","PRICAI 2002"
"OL16984638W","Reinforcement Learning for Adaptive Dialogue Systems"
"OL17718531W","Artificial intelligence and problem solving"
"OL17741065W","The power of Turbo prolog"
"OL17988055W","Knowledge negotiation"
"OL2563527W","Information, statistics, and induction in science"
"OL3502611W","Computational phonology"
"OL49502W","First Meetings in Ender's Universe"
"OL4972493W","Knowledge-based programming"
"OL8102128W","Transforming European Militaries"
"OL8794851W","Production Line Halt, Prediction by Artificial Intelligence (Application of Artificial Neural Networks)"
"OL947441W","Mother of God"
"OL10524824W","Artificial intelligence"
"OL11792707W","Machine intelligence and robitics"
"OL12617762W","Fifth Annual Workshop on Space Operations Applications and Research (SOAR '91)"
"OL12663039W","How to reason with uncertain knowledge"
"OL13346700W","Smart engineering systems"
"OL13537333W","11th IEEE International Conference on Tools with Artificial Intelligence"
"OL13589813W","2000 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2000)"
"OL15601973W","The confessions of a cyborg"
"OL16020076W","Kutpai, Yondŏ"
"OL16555743W","Rogue"
"OL16729841W","Twisted metal"
"OL16923971W","Intelligent Virtual Agents"
"OL16984190W","Artificial general intelligence"
"OL17403225W","Philosophy And Theory Of Artificial Intelligence"
"OL17915188W","The Ecology of computation"
"OL4577886W","Die binäre Herr-schaft"
"OL5273482W","Jinko chino to wa nani ka (New science age)"
"OL7999618W","Artificial intelligence"
"OL8947728W","Artificial intelligence"
"OL12120245W","Advances in artificial intelligence"
"OL15611023W","AI game engine programming"
"OL16930529W","Advances in artificial intelligence--IBERAMIA-SBIA 2006"
"OL16930565W","Artificial Immune Systems (vol. # 3627)"
"OL16941077W","Tools for Teaching Logic"
"OL16989846W","Artificial intelligence"
"OL3488982W","Trajectories through knowledge space"
"OL4697617W","Three responses to situation theory"
"OL4847795W","Machinery of the mind"
"OL600120W","L' attore sociale"
"OL8856014W","The logic of depiction"
"OL9583010W","Artificial Intelligence and Soft Computing"
"OL9593712W","Applications of Artificial Intelligence VI (Applications of Artificial Intelligence)"
"OL12466829W","Trends in legal knowledge"
"OL1311227W","The mathematical foundations of learning machines"
"OL13226523W","ICANN '94"
"OL15440992W","Artificial intelligence"
"OL16356122W","Information systems and artificial intelligence"
"OL16386361W","Lingvisticheskie problemy ""Iskusstvennogo intellekta"""
