"id","name"
"OL7144956A","Australian Joint Conference on Artificial Intelligence (20th 2007 Gold Coast, Qld.)"
"OL7205406A","Ferrante Neri"
"OL1436742A","Chris Moriarty"
"OL284529A","Trakhtengert͡s, Ė. A."
"OL396433A","Philip Leith"
"OL426310A","Nils Lenke"
"OL5197296A","Leandro N. De Castro"
"OL5367253A","H. P. Alesso"
"OL5588465A","IEEE/WIC/ACM International Conference on Intelligent Agent Technology (2005 Compiègne, France)"
"OL6530599A","Conference on Artificial Intelligence in Medicine (11th 2007 Amsterdam, Netherlands)"
"OL6643291A","European Conference on Artificial Intelligence (18th 2008 Patrai, Greece)"
"OL6935736A","Jiyou Jia"
"OL708485A","Moore, Robert C."
"OL7124968A","SOCO 2010 (2010 Guimarães, Portugal)"
"OL7199289A","Brahim Medjahed"
"OL1053054A","Michel Germain"
"OL1860809A","N. R. Nielsen"
"OL2460536A","IEEE Intelligent Network Workshop (2000 Cape Town, South Africa)"
"OL2634566A","Nils J. Nilsson"
"OL2709891A","J. L. Alty"
"OL301522A","Jean-Pierre Petit"
"OL3264557A","JAIR"
"OL3461875A","Rob Callan"
"OL4704177A","ACM Computer Science Conference"
"OL4940799A","ICWE 2007 2007 Como, Italy)"
"OL6480772A","International Symposium on Methodologies for Intelligent Systems (14th 2003 Maebashi-shi (Japan))"
"OL6957418A","George A. Tsihrintzis"
"OL6994749A","Eduardo F. Morales"
"OL7100958A","Wang, Haixun Ph. D."
"OL7122363A","Ritu Tiwari"
"OL7203994A","Alvaro Herrero"
"OL7205178A","Francisco Escolano"
"OL7236741A","Eva Volna"
"OL19494A","Adrian Berry"
"OL2663695A","Hans Moravec"
"OL2664030A","Andy Clark"
"OL2670963A","Michael Negnevitsky"
"OL2949540A","Duvvuru Sriram"
"OL3252438A","B. Whitby"
"OL3540744A","Peter Rothman"
"OL4188769A","V.K. Khanna"
"OL423005A","Silvio Ceccato"
"OL443991A","Ritchie, David"
"OL447573A","James H. Fetzer"
"OL4688184A","International Conference on Artificial Intelligence and Law (7th 1999 University of Oslo)"
"OL4938274A","D. A. Brown"
"OL5212911A","R. Beale"
"OL5621966A","Kumar Krishen"
"OL580940A","Allen, James"
"OL5913984A","International Joint Conference on Artificial Intelligence (13th 1993 Chambéry, France)"
"OL6126958A","IEEE Symposium on Computer-Based Medical Systems (10th 1997 Maribor, Slovenia)"
"OL7244796A","William John Teahan"
"OL1013801A","Michael Stock"
"OL1073201A","International Workshop AII '86 (1986 Wendisch-Rietz, Germany)"
"OL2726883A","Glenn Seemann"
"OL3092185A","Isabelle Bloch"
"OL3190294A","M. Sasikumar"
"OL3801488A","S. H. Rubin"
"OL403440A","Hans-Werner Gottinger"
"OL466962A","Barbara Becker"
"OL530636A","Zbigniew Stachniak"
"OL5372867A","International Conference on Active Media Technology (4th 2006 Queensland University of Technology)"
"OL5416370A","International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (15th 2002 Cairns, Qld.)"
"OL5805882A","Duška Rosenberg"
"OL5905368A","International Joint Conference on Artificial Intelligence.$ (11th 1989 Detroit, Mich.)"
"OL6133331A","International Conference on Artificial Neural Networks (European Neural Network Society) (4th 1994 Sorrento, Italy)"
"OL691311A","Vsesoi͡uznai͡a konferent͡sii͡a po problemam intellektualʹnykh sistem (6th 1991 Novosibirsk, Russia)"
"OL7079142A","Brent M. Gordon"
"OL7129337A","Scott Hutchins"
"OL7200030A","Noriaki Ando"
"OL7201406A","Michael May"
"OL7204351A","Mario Köppen"
"OL777055A","James L. Noyes"
"OL835012A","Lucas Pun"
"OL1073774A","Wendy B. Rauch-Hindin"
"OL121675A","Herbert Alexander Simon"
"OL1677642A","Vsesoi͡uznyĭ simpozium ""Iskusstvennyĭ intellekt i avtomatizat͡sii͡a issledovaniĭ v matematike"" (1978 Kiev, Ukraine)"
"OL235446A","International Conference on the Practice and Theory of Automated Timetabling (2nd 1997 Toronto, Ont.)"
"OL303516A","V. Mařík"
"OL3926463A","Kevin Leyton-brown"
"OL396851A","German Conference on  Artificial Intelligence (21st 1997 Freiburg, Germany)"
"OL407470A","IEEE/RSJ International Conference on Intelligent Robots and Systems (1997 Grenoble, France)"
"OL4324598A","N V. Findler"
"OL4654042A","Kelli F. Willshire"
"OL4905225A","Robin Murphy"
"OL5689812A","International Central and Eastern European Conference on Multi-Agent Systems (4th 2005 Budapest, Hungary)"
"OL6448748A","Larry H. Reeker"
"OL6934858A","UIC 2009 (2009 Brisbane, Qld.)"
"OL7203845A","Sylvain Pogodalla"
"OL7205186A","Hannes Högni Vilhjálmsson"
"OL7209757A","Athena Vakali"
"OL1964132A","Donald G. Fink"
"OL327016A","José Ramón Hilera González"
"OL4887054A","SEAL '98 (1998 Canberra, Australia)"
"OL5345166A","Symposium on Artificial Intelligence and Programming Languages (1977 University of Rochester)"
"OL5689644A","LPAR 2005 (2005 Dec Montego Bay, Jamaica)"
"OL638103A","European Workshop JELIA '94 (1994 York, UK)"
"OL6475664A","Tshilidzi Marwala"
"OL6865456A","International Conference on Knowledge Capture (3rd 2005 Banff, Alta.)"
"OL7099670A","Nicholas Joll"
"OL7202702A","Minoru Asada"
"OL7204546A","Pascal Bouvry"
"OL853177A","Internationaler GI-Kongress Wissensbasierte Systeme (4th 1991 Munich, Germany)"
"OL1605726A","JURIX 2001 (14th 2001 Universiteit van Amsterdam)"
"OL199094A","National Research Council (U.S.). Naval Studies Board. Panel on Computer Science and Artificial Intelligence."
"OL2708408A","J.S. Gero"
"OL399470A","Gerhard K. Kraetzschmar"
"OL617912A","Iveri Varlamovich Prangishvili"
"OL6984150A","Ricardo Caferra"
"OL7004769A","International CSI Computer Conference (13th 2008 Kish Island, Iran)"
"OL7205203A","Marenglen Biba"
"OL7205395A","Júnia Coutinho Anacleto"
"OL7205449A","János Fodor"
"OL7207829A","Cyrill Stachniss"
"OL765424A","Jiwen W. Guan"
"OL832348A","Hans Werner Güsgen"
"OL883164A","Kent L. Norman"
"OL979416A","Jürgen Klüver"
"OL1237940A","Andrew J. Palay"
"OL1270080A","Amedeo Cappelli"
"OL1569735A","Mariana Beliș"
"OL3405453A","John F. Lemmer"
"OL3671290A","P. Mowforth"
"OL3872402A","R. S. T. Lee"
"OL4307800A","John F Buydos"
"OL4625274A","International Symposium on Instrumentation and Control Technology (6th 2006 Beijing, China)"
"OL5210617A","International Conference on Case-Based Reasoning (5th 2003 Trondheim, Norway)"
"OL575217A","Ramachandran Bharath"
"OL5969461A","National Conference on Artificial Intelligence (5th 1986 Philadelphia, PA.)"
"OL6451123A","International Workshop on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (2001 Foros, Ukraine)"
"OL6716967A","Ibero-American Conference on Artificial Intelligence (11th 2008 Lisbon, Portugal)"
"OL7011539A","Jacqueline Bourdeau"
"OL7061763A","Aboul Ella Hassanien"
"OL7204427A","Norbert Jankowski"
"OL7209921A","Hongbin Zha"
"OL946417A","Jim Menick"
"OL948859A","Judea Pearl"
"OL1192466A","H. C. Longuet-Higgins"
"OL1665735A","Buckley, James J."
"OL20531A","James S. Trefil"
"OL2484124A","Albrecht Behmel"
"OL2675351A","James Surowiecki"
"OL2870952A","Ichiro Takeuchi"
"OL403180A","Constantin Zopounidis"
"OL418690A","Guitta Pessis-Pasternak"
"OL5041249A","IEEE Symposium on Computational Intelligence in Scheduling (1st 2007 Honolulu, Hawaii)"
"OL5173162A","International Conference on Computational Intelligence and Multimedia Applications (1999 New Dehli, India)"
"OL5526641A","Machine Intelligence Workshop (5th 1969 Edinburgh)"
"OL6398357A","E. Trillas"
"OL6957619A","Pietro Liò"
"OL7051682A","ICARIS 2010 (2010 Edinburgh, Scotland)"
"OL7124960A","ACG 2009 (2009 Pamplona, Spain)"
"OL7202815A","Alexiei Dingli"
"OL7204273A","Karem A. Sakallah"
"OL7205542A","David Pelta"
"OL1008528A","Kevin D. Ashley"
"OL1569364A","Nico Baaijens"
"OL23858A","M. Berthold"
"OL4654005A","Ahmed Khairy Noor"
"OL5695072A","Stellan Ohisson"
"OL5919792A","International Workshop on Software Engineering, Artificial Intelligence, and Expert Systems in High Energy and Nuclear Physics (2nd 1992 La Londe les Maures, France)"
"OL6453822A","International Conference on Artificial Intelligence Planning and Scheduling (5th 2000 Breckenridge, Colo.)"
"OL6481256A","Conference on Artificial Intelligence in Medicine in Europe (9th 2003 Protaras, Cyprus)"
"OL6843896A","Sylvia Engdahl"
"OL7065530A","Bernard Grabot"
"OL714443A","E. J. Applewhite"
"OL7243895A","William John Teahan"
"OL811962A","Christof Weinhardt"
"OL1037174A","Allan M. Din"
"OL1123833A","Rostam Joobbani"
"OL1383468A","Wiktor Marek"
"OL195973A","Cox, James F."
"OL240538A","Eric Bonabeau"
"OL2668629A","Melissa Terras"
"OL286749A","Golden West Conference on Intelligent Systems (4th 1995 San Francisco, Calif.)"
"OL4977086A","International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (7th 2006 Las Vegas, Nev.)"
"OL4991424A","International Conference on Systems Research, Informatics and Cybernetics (16th 2004 Baden-Baden, Germany)"
"OL6284340A","International Conference on Intelligent User Interfaces (2002 San Francisco, Calif.)"
"OL6386051A","International Conference on Applications of Artificial Intelligence in Engineering Problems (1986 University  of Southampton)"
"OL6519116A","IFIP TC12 WG12.5--IFIP Conference on Artificial Intelligence Applications and Innovations (2nd 2005 Beijing, China)"
"OL666743A","Karl Levitin"
"OL710491A","Raymond E. Levitt"
"OL7204635A","Matthew E. Taylor"
"OL7348416A","Hiromitsu Hattori"
"OL78820A","Christopher James Thornton"
"OL1189221A","NATO Advanced Study Institute on Intelligent Decision Support in Process Environments (1985 San Miniato, Italy)"
"OL3303894A","Georg Dorffner"
"OL4894207A","Nicola Muscettola"
"OL544891A","Mark Fabi"
"OL5837191A","CISM-IFToMM Symposium on Theory and Practice of Robots and Manipulators (1st 1973 Udine, Italy)"
"OL6440925A","International Conference on Tools for Artificial Intelligence (12th 2000 Vancouver, British Columbia, Canada)"
"OL6854472A","Bruce Fette"
"OL7013216A","Július Štuller"
"OL7117888A","Artificial Intelligence Applications and Innovations (6th 2010 Larnaca, Cyprus)"
"OL711833A","Larry Crockett"
"OL7204395A","José Francisco Martínez Trinidad"
"OL7209723A","Alain Lecomte"
"OL885598A","SNePS Workshop (1st 1989 Buffalo, N.Y.)"
"OL985346A","Philip R. Cohen"
"OL1003067A","Eurographics Workshop on ""Intelligent CAD Systems"" (2nd 1988 Veldhoven, Netherlands)"
"OL1046631A","Alfred Kobsa"
"OL1059824A","Boi Faltings"
"OL1072438A","David H. Ackley"
"OL1608491A","International Conference on Simulation of Adaptive Behavior (6th 2000 Paris, France)"
"OL196163A","Lévy, Pierre"
"OL2642274A","V. M. Ponomaryov"
"OL2785074A","Vipul Kashyap"
"OL2912182A","J.S. Kowalik"
"OL32169A","Momoh, James A"
"OL3303042A","Dario Floreano"
"OL3620781A","J. Retti"
"OL456533A","Nikola K. Kasabov"
"OL471224A","Andrew Adamatzky"
"OL7199274A","Boris de Ruyter"
"OL7204457A","Yuanxu Yu"
"OL982449A","German Workshop on Artificial Intelligence (11th 1987 Geseke, Germany)"
"OL1747151A","James W. McKee"
"OL2684873A","Ai"
"OL3154317A","Sameer Singh"
"OL3358580A","Mark Elsom-Cook"
"OL3593147A","John F. Gilmore"
"OL395952A","Gazzaniga, Michael S."
"OL407028A","International Workshop on Temporal Representation and Reasoning (4th 1997 Daytona Beach, Fla.)"
"OL4368575A","Robin Jones"
"OL4901068A","AAAI Fall Symposium (2000 North Falmouth, Mass.)"
"OL5157088A","CLA 2006 (2006 Ḥammāmāt, Tunisia)"
"OL5412246A","IEEE International Symposium on Intelligent Control (15th 2000 Rio Patras, Greece)"
"OL550997A","Fred Yager"
"OL6229670A","Mikhail Moiseevich Bongard"
"OL7202580A","Joaquim Filipe"
"OL7204371A","Hepu Deng"
"OL893744A","Owen, Stephen"
"OL1074175A","H. Wertz"
"OL2648656A","Siani Pearson"
"OL2692347A","J. Self"
"OL5139034A","International Conference on Formal Concept Analysis (6th 2008 Montreal, Canada)"
"OL5186410A","International Conference on Case-Based Reasoning (4th 2001 Vancouver, BC)"
"OL614719A","Ho-Fung Leung"
"OL621650A","Simone Pribbenow"
"OL623757A","International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (2nd 1989 Tullahoma, Tenn.)"
"OL6371484A","Conference on Theoretical Aspects of Reasoning about Knowledge (3rd 1990 Pacific Grove, Calif.)"
"OL6999008A","Nguyen, Ngoc Thanh D. Sc"
"OL7077859A","Juha Röning"
"OL7124957A","Yoel Tenne"
"OL7207036A","Vincent A. W. M. M. Aleven"
"OL1929999A","Nato Advanced Study Institute on Computer Oriented Learning Processes Château de Bonas 1974."
"OL2678876A","Gunther Palm"
"OL2752978A","Andre LaMothe"
"OL3154438A","Barbara Hammer"
"OL5062067A","Michael Stock"
"OL51413A","Marceau Felden"
"OL59633A","Jacques Ferber"
"OL6439330A","International Workshop on Artificial Intelligence and Mathematical Methods in Pavement and Geomechanical Systems (1998 Miami, Fla.)"
"OL6447591A","Artificial Intelligence and Robotics Symposium Part II (September 12-13, 1984 Indianapolis, Ind.)"
"OL6582933A","J. Paulo Davim"
"OL6732640A","A. N. I︠A︡kimov"
"OL6843047A","Shin Enerugī Sangyō Gijutsu Sōgō Kaihatsu Kikō (Japan)"
"OL1297947A","Wolfgang Wahlster"
"OL2679889A","Matt Smith"
"OL404206A","Ford, Nigel."
"OL4661460A","Gary C. Hill"
"OL5695138A","David F. Corner"
"OL585879A","Thomas L. Dean"
"OL595250A","IEEE International Workshop on Emerging Technologies and Factory Automation (3rd 1994 Tokyo, Japan)"
"OL6480425A","IEEE International Conference on Emerging Technologies and Factory Automation (2006 Prague, Czech Republic)"
"OL6983157A","L. Enrique Sucar"
"OL6994580A","Alessio Micheli"
"OL7054128A","O. G. Penskiĭ"
"OL7112622A","Greg Borenstein"
"OL7145257A","Asociación Española de Inteligencia Artificial. Conferencia"
"OL7210690A","Nikolay Mehandjiev"
"OL1121250A","Jean-Paul Delahaye"
"OL1268876A","Johannes Retti"
"OL1519385A","International Conference on Natural Language Processing and Knowledge Engineering (2003 Beijing, China)"
"OL1960006A","U.S.-Japan Seminar on Learning Control and Intelligent Control Gainesville, Fla. 1973."
"OL2681698A","H. Marburger"
"OL407749A","Scandinavian Conference on Artificial Intelligence (6th 1997 Helsinki, Finland)"
"OL5146464A","KES-AMSTA 2008 (2008 Inchʻŏn, Korea)"
"OL5209455A","International Conference on Knowledge-Based Intelligent Information Engineering Systems (7th 2003 Oxford, England)"
"OL535787A","Reed, Harold L."
"OL717271A","Krause, Paul."
"OL923717A","Andreas Hamfelt"
"OL1070816A","IFAC/IFORS/IFIP/IASC/AFCET Conference on Economics and Artificial Intelligence (1986 Aix-en-Provence, France)"
"OL1074715A","Terry Patten"
"OL1271956A","Workshop on Artificial Intelligence (1983 Ottawa, Ont.)"
"OL1606994A","Society for the Study of Artificial Intelligence and Simulation of Behaviour. Conference"
"OL1616960A","International ISMICK Symposium (5th 1997 Compiègne, France)"
"OL2662609A","National Research Council (U.S.) Transportation Research Board"
"OL3652830A","Nathan Goldenthal"
"OL464152A","José Luis Carrascosa"
"OL4827772A","National Conference on Artificial Intelligence. (7th 1988 St. Paul, Minn.)"
"OL5432076A","Portuguese Conference on Artificial Intelligence 12th 2005 Covilhã, Portugal)"
"OL548845A","IEEE Conference on Emerging Technologies and Factory Automation (1996 Kauai, Hawaii)"
"OL575878A","David Porush"
"OL5866150A","National Conference on Artificial Intelligence (14th 1997 Providence, Rhode Island)"
"OL5909882A","Douglas Robert Strong"
"OL59627A","Richard Kendall Miller"
"OL6172627A","IFAC Symposium on Robot Control (2nd 1988 Karlsruhe, Germany)"
"OL6279739A","International Conference on Intelligent User Interfaces (2002 San Francisco, Calif.)"
"OL7200402A","Santi Caballe"
"OL7205391A","Alexander Mehler"
"OL7207609A","Marcello Pelillo"
"OL889597A","Michael P. Wellman"
"OL956918A","Henry C. Mishkoff"
"OL1127979A","International Symposium on New Directions in Computing (1985 Norwegian Institute of Technology)"
"OL1677621A","Patrick Hall"
"OL2705112A","Michael Benedikt"
"OL3327580A","A. V. Demongeot"
"OL3405457A","T. O'Shea"
"OL4378257A","M. A. P. Willmer"
"OL591163A","Robert W. Blanning"
"OL6529879A","Brain IT (2nd 2005 Kitakyushu, Japan)"
"OL6896210A","Fernando Flores"
"OL7199914A","C. Lee Giles"
"OL7206043A","Nick R. Milton"
"OL7303876A","Ildar Batyrshin"
"OL954678A","Harvey Abramson"
"OL1197634A","Benjamin W. Wah"
"OL3054137A","B. Kumar"
"OL3227061A","Ljupco Kocarev"
"OL3341660A","Peter Eklund"
"OL4352014A","J R. Slagle"
"OL4765070A","Xiaohong Gao"
"OL4941131A","European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty (9th 2007 Hammamet, Tunisia)"
"OL52174A","Dov M. Gabbay"
"OL542838A","Deryn Graham"
"OL5563109A","International Conference on Artificial Intelligence and Law (4th 1993 Vrije Universiteit te Amsterdam)"
"OL6111222A","Association canadienne-francaise pour l'avancement des sciences. Congrès"
"OL6616468A","German Conference on Artificial Intelligence (31st 2008 : Kaiserslautern, Germany)"
"OL6758410A","Anthony Miccoli"
"OL7204440A","Cory Butz"
"OL7204769A","Ivan Habernal"
"OL7206020A","Guang-Zhong Yang"
"OL7207799A","Ewa Piętka"
"OL887492A","Stephen M. Alessi"
"OL973742A","Popov, Ė. V."
"OL1039458A","Jacobs, Jan"
"OL1963807A","Gerald Jay Sussman"
"OL22866A","Paul J. McAuley"
"OL3181953A","Pierre Cointe"
"OL330526A","Portuguese Conference on Artificial Intelligence (7th 1995 Funchal, Madeira Islands)"
"OL33550A","Jae K. Shim"
"OL342699A","Daniel C. Dennett"
"OL3488544A","R. Beard"
"OL3603033A","Glenn Schaefer"
"OL3617735A","Petros Maragos"
"OL389629A","Efraim Turban"
"OL5204005A","Conference on Artificial Intelligence in Medicine Europe (11th 2007 Amsterdam, The Netherlands)"
"OL5330045A","IEEE Symposium on Computer-Based Medical Systems (11th 1998 Lubbock, Tex.)"
"OL576096A","John Hallam"
"OL5885048A","Società italiana di logica e filosofia della scienza. Congresso"
"OL602410A","Richard K. Miller"
