"id","subject"
"82","Amusements"
"83","Analogy"
"84","Analyse"
"85","Analysis"
"86","Analysis (Philosophy)"
"87","Analytic Philosophy"
"88","Anatomy"
"89","Ancient Philosophy"
"90","Android"
"91","Androids"
"92","Anglais (Langue)"
"93","Animal behavior"
"94","Animal intelligence"
"95","Animals"
"96","Ant algorithms"
"97","Anthropology of Knowledge"
"98","Anthropomorphism"
"99","Anwendungssystem"
"100","Appl.Mathematics/Computational Methods of Engineering"
"101","Apple II (Computer)"
"102","Apple computer"
"103","Application programs (Computers)"
"104","Applications industrielles"
"105","Applications programs (Computers)"
"106","Applied Mechanics"
"107","Applied linguistics"
"108","Apprentissage automatique"
"109","Apprentissage de concepts"
"110","Approximation theory"
"111","Arbeit"
"112","Archaeology"
"113","Architectural design"
"114","Architecture"
"115","Architecture (Computers)"
"116","Architecture des ordinateurs"
"117","Architecture neuronale"
"118","Architecture parallele"
"119","Architecture système"
"120","Armed Forces"
"121","Art & Art Instruction"
"122","Art and science"
"123","Articifical intelligence"
"124","Artifical intelligence"
"125","Artificial General Intelligence"
"126","Artificial Implants"
"127","Artificial Intelligence"
"128","Artificial Intelligence (incl. Robotics)"
"129","Artificial Intelligence - General"
"130","Artificial Languages"
"131","Artificial immune systems"
"132","Artificial implants in fiction"
"133","Artificial intelligence"
"134","Artificial intelligence -- Fiction."
"135","Artificial intelligence -- Philosophy"
"136","Artificial intelligence in fiction"
"137","Artificial intelligence in literature"
"138","Artificial intelligence industry"
"139","Artificial intelligence."
"140","Artificial life"
"141","Artificial life in fiction"
"142","Artificialintelligence"
"143","Aspect social"
"144","Assassins"
"145","Astronautics"
"146","Astronomy"
"147","Atheists"
"148","Attention"
"149","Attitude to Computers"
"150","Attribution (Social psychology)"
"151","Auditing"
"152","Auditing, Internal"
"153","Auditory perception"
"154","Aufsatzsammlung"
"155","Augenfolgebewegung"
"156","Authors, American"
"157","Authorship"
"158","Automata"
"159","Automated Pattern Recognition"
"160","Automates mathématiques, Théorie des"
"161","Automatic control"
"162","Automatic data collection systems"
"163","Automatic indexing"
"164","Automatic machinery"
"165","Automatic speech recognition"
"166","Automatic theorem proving"
"167","Automation"
"168","Automatisation"
"169","Automatisches Beweisverfahren"
"170","Automaton chess players"
"171","Automobile industry and trade"
"172","Autonomous robots"
"173","Autorensystem"
"174","Avatars (Virtual reality)"
"175","Avida (Computer file)"
"176","Avionics"
"177","Awareness"
"178","Axiomatic set theory"
"179","BASIC"
"180","BASIC (Computer program language)"
"181","BASIC (Computer programming language)"
"182","BASIC (langage de programmation)"
"183","BBC Micro"
"184","BBC Microcomputer"
"185","BUSINESS & ECONOMICS"
"186","BUSINESS & ECONOMICS / Economics / General"
"187","BUSINESS & ECONOMICS / Finance"
"188","BUSINESS & ECONOMICS / Statistics"
"189","Babylonian Wisdom Literature"
"190","Bach, Johann Sebastian, 1685-1750"
"191","Back propagation (Artificial intelligence)"
"192","Banks and banking"
"193","Baseball"
"194","Battleship"
"195","Bayes theorem"
"196","Bayesian statistical decision theory"
"197","Beeldverwerking"
"198","Behavior and Behavior Mechanisms"
"199","Behavior evolution"
"200","Belief and doubt"
"201","Belletristische Darstellung"
"202","Beweistheorie"
"203","Bewijs (wetenschap)"
"204","Bewusstsein"
"205","Bibliographie"
"206","Bibliography"
"207","Bibliotheekautomatisering"
"208","Bibliotheques"
"209","Bildanalyse"
"210","Bilderkennung"
"211","Bildgebendes Verfahren"
"212","Bildungsromans"
"213","Bildverarbeitung"
"214","Bildverstehen"
"215","Binocular vision"
"216","Bio-informatique"
"217","Biochemistry"
"218","Bioengineering"
"219","Biographies"
"220","Biography"
"221","Bioinforamtics"
"222","Bioinformatics"
"223","Bioinformatik"
"224","Biolinguistics"
"225","Biologen"
"226","Biological Evaluation"
"227","Biological Models"
"228","Biological applications"
"229","Biological models"
"230","Biological systems"
"231","Biologically-inspired computing"
"232","Biology"
"233","Biología molecular"
"234","Biomedical Engineering"
"235","Biomedical Technology"
"236","Biomedical engineering"
"237","Biometric identification"
"238","Biometrics"
"239","Biometry"
"240","Biomimetics"
"241","Bionics"
"242","Biophysics"
"243","Biotechnologie"
"244","Biotechnology"
"245","Biowissenschaften"
"246","Birth (Philosophy)"
"247","Blade Runner"
"248","Blind women"
"249","Body"
"250","Books and reading"
"251","Boolean Algebra"
"252","Boppers (Computer file)"
"253","Botany"
"254","Bouwkunde"
"255","Boys"
"256","Brain"
"257","Brain-computer interfaces"
"258","Brothers"
"259","Brothers and sisters"
"260","Building"
"261","Business"
"262","Business Intelligence"
"263","Business Intelligence Tools"
"264","Business enterprises"
"265","Business logistics"
"266","Business planning"
"267","C (Computer program language)"
"268","C++ (Computer program language)"
"269","C++ (Programming language)"
"270","CAD"
"271","CAD/CAM systems"
"272","COMMON LISP (Computer program language)"
"273","COMPUTABILIDADE E COMPLEXIDADE"
"274","COMPUTER AIDED DESIGN"
"275","COMPUTERS"
"276","COMPUTERS / Database Management / Data Mining"
"277","COMPUTERS / General"
"278","COMPUTERS / Internet / General"
"279","COMPUTERS / Machine Theory"
"280","COMPUTERS / Neural Networks"
"281","COMPUTERS / Social Aspects / General"
"282","COMPUTERS / Software Development & Engineering / Systems Analysis & Design"
"283","CONSAT"
"284","Canadian Science fiction"
"285","Cardiology"
"286","Cars"
"287","Cartoons and comics"
"288","Case studies"
"289","Case-based reasoning"
"290","Cataloging of computer network resources"
"291","Catalogs"
"292","Cataloguing of computer network resources"
"293","Categorization (Psychology)"
"294","Causality (Physics)"
"295","Causation"
"296","Cell phones"
"297","Cellular automata"
"298","Central planning"
"299","Cerveau"
"300","Chaotic behavior in systems"
"301","Characterization"
"302","Charakter"
"303","Chemical detectors"
"304","Chemical engineering"
"305","Chemical propulsion"
"306","Chemical structure"
"307","Chemistry"
"308","Chess"
"309","Child soldiers"
"310","Children"
"311","Children's literature, Brazilian"
"312","Children's stories, American"
"313","China"
"314","China. Zhongguo ren min jie fang jun. Hai jun"
"315","Chinese character sets (Data processing)"
"316","Chinese language"
"317","Christianity"
"318","Ciencia-ficción"
"319","Circuit boards"
"320","Circuits neuronaux"
"321","City and town life"
"322","Civiele techniek"
"323","Civil engineering"
"324","Civil rights movements"
"325","Civilization, Modern"
"326","Classical"
"327","Classified Defense information"
"328","Climatic changes"
"329","Clinical Decision Support Systems"
"330","Clinical medicine"
"331","Clinical trials"
"332","Cluster analysis"
"333","Cockpits"
"334","Coding"
"335","Coding theory"
"336","Cognitieve processen"
"337","Cognitiewetenschap"
"338","Cognition"
"339","Cognition in children"
"340","Cognition. 0"
"341","Cognitive Science"
"342","Cognitive dissonance"
"343","Cognitive grammar"
"344","Cognitive learning"
"345","Cognitive learning theory"
"346","Cognitive neuroscience"
"347","Cognitive psychology"
"348","Cognitive radio networks"
"349","Cognitive science"
"350","Cognitive systems"
"351","Collected works"
"352","Collective Intelligence"
"353","Collective Wisdom"
"354","College teachers"
"355","Collision avoidance"
"356","Color"
"357","Coloring books"
"358","Combat automation"
"359","Combinatorial optimization"
"360","Comic books, strips"
"361","Command and control systems"
"362","Commande intelligente"
"363","Commercial loans"
"364","Commodore 64 (Computer)"
"365","Common good"
"366","Common sense"
"367","Commonsense"
"368","Commonsense reasoning"
"369","Communication"
"370","Communication and technology"
"371","Communication homme-machine"
"372","Communication networks"
"373","Communications systems"
"374","Comparative Literature"
"375","Comparative Psychology"
"376","Comparative and general Grammar"
"377","Competitive Intelligence"
"378","Compiling (Electronic computers)"
"379","Complexity (Philosophy)"
"380","Composite materials"
"381","Composition and exercises"
"382","Comprehension"
"383","Comprehension (Theory of knowledge)"
"384","Computable functions"
"385","Computation by Abstract Devices"
"386","Computational Biology"
"387","Computational Intelligence"
"388","Computational biology"
"389","Computational complexity"
"390","Computational fluid dynamics"
"391","Computational intelligence"
"392","Computational learning theory"
"393","Computational linguistics"
"394","Computational neuroscience"
"395","Computer"
"396","Computer Appl. in Social and Behavioral Sciences"
"397","Computer Assisted Decision Making"
"398","Computer Assisted Diagnosis"
"399","Computer Books: General"
"400","Computer Communications & Networking"
"401","Computer Graphics"
"402","Computer Imaging, Vision, Pattern Recognition and Graphics"
"403","Computer Programming"
"404","Computer Science"
"405","Computer Science, general"
"406","Computer Simulation"
"407","Computer Technology"
"408","Computer aided design"
"409","Computer algorithms"
"410","Computer animation"
"411","Computer architecture"
"412","Computer art"
"413","Computer chess"
"414","Computer composition"
"415","Computer drawing"
"416","Computer engineering"
"417","Computer games"
"418","Computer graphics"
"419","Computer hackers"
"420","Computer industry"
"421","Computer integrated manufacturing systems"
"422","Computer logic"
"423","Computer music"
"424","Computer network architectures"
"425","Computer network resources"
"426","Computer networks"
"427","Computer programmers"
"428","Computer programming"
"429","Computer programs"
"430","Computer science"
"431","Computer science -- Algorithms -- Nonnumerical algorithms"
"432","Computer science -- Artificial intelligence -- Reasoning under uncertainty"
"433","Computer science -- Artificial intelligence -- Robotics"
"434","Computer science -- Theory of computing -- Analysis of algorithms and problem complexity"
"435","Computer scientists"
"436","Computer security"
"437","Computer simulation"
"438","Computer software"
"439","Computer sound processing"
"440","Computer storage devices"
"441","Computer system performance"
"442","Computer systems"
"443","Computer systems design"
"444","Computer techniques"
"445","Computer viruses"
"446","Computer vision"
"447","Computer war games"
"448","Computer-Assisted Instruction"
"449","Computer-aided design"
"450","Computer-aided engineering"
"451","Computer-aided software engineering"
"452","Computer-assisted instruction"
"453","Computer-assisted instruction for foreign speakers"
"454","Computergraphics"
"455","Computergraphik"
"456","Computerized simulation"
"457","Computers"
"458","Computers & information Technology"
"459","Computers - General Information"
"460","Computers and Society"
"461","Computers and civilization"
"462","Computers. 0"
"463","Computersimulation"
"464","Computerspiel"
"465","Computerunterstutzter Unterricht"
"466","Computerunterstutztes Lernen"
"467","Concept Formation"
"468","Concept learning"
"469","Conception et construction"
"470","Concepts"
"471","Conceptual structures (Information theory)"
"472","Conciousness"
"473","Concurrent processing"
"474","Conditionals (Logic)"
"475","Conferences"
"476","Configuration space"
"477","Congres"
"478","Congresos"
"479","Congresses"
"480","Congresses.."
"481","Congrès"
"482","Connection machines"
"483","Connectionism"
"484","Connectionisme"
"485","Connections (Mathematics)"
"486","Connexionisme"
"487","Conscience"
"488","Conscious automata"
"489","Consciousness"
"490","Consensus (Social sciences)"
"491","Constraint programming (Computer science)"
"492","Constraint-Programmierung"
"493","Constraints (Artificial intelligence)"
"494","Continental Philosophy"
"495","Contract bridge"
"496","Control"
"497","Control (Linguistics)"
"498","Control engineering systems"
"499","Control system"
"500","Control systems"
"501","Control systems design"
"502","Control theory"
"503","Controllers"
"504","Copycat (Computer file)"
"505","Copyright"
"506","Corporations"
"507","Correctness"
"508","Cosmologie"
"509","Cosmology"
"510","Creation (Literary, artistic, etc.)"
"511","Creative ability"
"512","Creativity"
"513","Creativity (Linguistics)"
"514","Criminals"
"515","Critical realism"
"516","Criticism and interpretation"
"517","Crops"
"518","Crowdsourcing"
"519","Cryonics"
"520","Créativité"
"521","Créativité en technologie"
"522","Cultuur"
"523","Cybernetics"
"524","Cybernetics in literature"
"525","Cybernetique"
"526","Cyberspace"
"527","Cyberterrorism"
"528","Cyborgs"
"529","Cyborgs in popular culture"
"530","Cytology"
"531","DAIA"
"532","DNA viruses"
"533","Data Mining"
"534","Data Mining and Knowledge Discovery"
"535","Data base management"
"536","Data base management systems"
"537","Data bases"
"538","Data encryption (Computer science)"
"539","Data mining"
"540","Data processing"
"541","Data protection"
"542","Data standards"
"543","Data structures (Computer science)"
"544","Data transmission systems"
"545","Database design"
"546","Database management"
"547","Database searching"
"548","Databases"
"549","Datenbanksystem"
"550","Datenverarbeitung"
"551","De monstration automatique"
"552","De tecteurs"
"553","Deaf"
"554","Death"
"555","Decision Making, Computer-Assisted"
"556","Decision Support Techniques"
"557","Decision making"
"558","Decision support systems"
"559","Decision-making"
"560","Default reasoning"
"561","Defense industries"
"562","Defenses"
"563","Definability theory (Mathematical logic)"
"564","Demonstration theoreme"
"565","Denken"
"566","Dentistry"
"567","Description logics"
"568","Design"
"569","Design - General"
"570","Design and construction"
"571","Detectors"
"572","Development"
"573","Developmental biology"
"574","Developmental neurobiology"
"575","Diagnosis"
"576","Diagnosis, Computer-Assisted"
"577","Diagnosis, Differential"
"578","Diagnostic Imaging"
"579","Diagnostic imaging"
"580","Dialectical materialism"
"581","Dictionaries"
"582","Dictionaries, Polyglot"
"583","Dictionnaires"
"584","Dictionnaires anglais"
"585","Dictionnaires français"
"586","Differentiable dynamical systems"
"587","Differential Diagnosis"
"588","Differential geometry -- Global differential geometry -- Integral geometry"
"589","Digital Electric filters"
"590","Digital communication"
"591","Digital computer simulation"
"592","Digital electronics"
"593","Digital libraries"
"594","Digital media"
"595","Digital storytelling"
"596","Digital techniques"
"597","Digitale technieken"
"598","Directories"
"599","Discotheques"
"600","Discourse analysis"
"601","Discourse analysis, Narrative"
"602","Discrete groups"
"603","Discrete-time systems"
"604","Diseases"
"605","Display devices"
"606","Distance Education"
"607","Distributed artificial intelligence"
"608","Distributed cognition"
"609","Distributed databases"
"610","Distributed processing"
"611","Distribution (Probability theory)"
"612","Divorced men"
"613","Documentation"
"614","Domains"
"615","Don DeLillo"
"616","Downlinking"
"617","Dragon 32 (Computer)"
"618","Drama"
"619","Dreidimensionale Rekonstruktion"
"620","Droit"
"621","Drone aircraft"
"622","Drugs"
"623","Dualism"
"624","Duty"
"625","Dynamic Systems and Control"
"626","Dynamic control"
"627","Dynamic programming"
"628","Dynamical systems and ergodic theory -- Approximation methods and numerical treatment of dynamical systems -- None of the above, but in this section"
"629","Dynamical systems and ergodic theory -- Dynamical systems with hyperbolic behavior -- Strange attractors, chaotic dynamics"
"630","Dynamical systems and ergodic theory -- Topological dynamics -- Index theory, Morse-Conley indices"
"631","Dynamics"
"632","Dynamique"
"633","Démonstration automatique"
"634","Déredec"
"635","E talonnage"
"636","ELIZA"
"637","Ear"
"638","Early Childhood Education"
"639","Earth Observing System (EOS)"
"640","Economic aspects"
"641","Economic aspects of Artificial intelligence"
"642","Economic aspects of Automation"
"643","Economic policy"
"644","Economics"
"645","Education"
"646","Education, Health"
"647","Educational Leadership"
"648","Educational Policy"
"649","Educational Psychology"
"650","Educational Research"
"651","Educational Technology"
"652","Educational application"
"653","Educational applications"
"654","Educational games"
"655","Educational psychology"
"656","Educational technology"
"657","Educational tests and measurements"
"658","Effect of automation on"
"659","Effect of technological innovations on"
"660","Electric driving"
"661","Electric equipment"
"662","Electric filters, Digital"
"663","Electric motors"
"664","Electric network analysis"
"665","Electric power supplies"
"666","Electric power system stability"
"667","Electric power systems"
"668","Electric propulsion"
"669","Electric railroads"
"670","Electrical and computer engineering"
"671","Electricity"
"672","Electron Microcomputer"
"673","Electronic apparatus and appliances"
"674","Electronic commerce"
"675","Electronic control"
"676","Electronic data processing"
"677","Electronic digital computers"
"678","Electronic encyclopedias"
"679","Electronic equipment"
"680","Electronic games industry"
"681","Electronic industries"
"682","Electronic information resources"
"683","Electronic publishing"
"684","Electronic records"
"685","Electronic systems"
"686","Electronic warfare"
"687","Electronics"
"688","Electronics in military engineering"
"689","Embedded computer systems"
"690","Emotional intelligence"
"691","Emotions"
"692","Emotions (Philosophy)"
"693","Empire"
"694","Employees"
"695","Encyclopedias"
"696","End effectors"
"697","Ender Wiggin (Fictitious character)"
"698","Enfants"
"699","Engineering"
"700","Engineering design"
"701","Engineering economy"
"702","Engineering mathematics"
"703","Engineers"
"704","English"
"705","English and Italian"
"706","English fiction"
"707","English language"
"708","English literature"
"709","Enseignement assiste par ordinateur"
"710","Enseignement assisté par ordinateur"
"711","Enseignement supérieur"
"712","Enseignement supérieur, Effets des innovations sur l'"
"713","Enterprise Applications"
"714","Entertainment computing"
"715","Entscheidungsfindung"
"716","Environmental Philosophy"
"717","Environmental aspects"
"718","Environmental aspects of Oil spills"
"719","Environmental engineering"
"720","Environmental impact analysis"
"721","Environmental quality"
"722","Environmental sciences"
"723","Enzymology"
"724","Equations"
"725","Equipment"
"726","Equipment and supplies"
"727","Ergodic theory"
"728","Error analysis"
"729","Error correcting codes"
"730","Error detection codes"
"731","Errors"
"732","Erzählen"
"733","Escapes"
"734","Escher, Maurits Cornelius, 1898-1971"
"735","Esprit"
"736","Esthétique"
"737","Ethics, Modern"
"738","Etudes de Cas"
"739","European Union"
"740","Evaluation"
"741","Evidence"
"742","Evidence (Law)"
"743","Evolution"
"744","Evolution (Biology)"
"745","Evolutionary computation"
"746","Evolutionary programming (Computer science)"
"747","Evolutionary robotics"
"748","Evolutionärer Algorithmus"
"749","Expectation (Philosophy)"
"750","Exper systems (Computer science)"
"751","Experience"
"752","Experiments"
"753","Expert Systems"
"754","Expert system (Computer science)"
"755","Expert systems"
"756","Expert systems (Computer science)"
"757","Expertensystem"
"758","Expertise"
"759","Expertsystemen"
"760","Explanation"
"761","Explanation-based learning"
"762","Exploration"
"763","Exploration & Discovery"
"764","Explorative Datenanalyse"
"765","Explorers"
"766","Extraterrestrial bases"
"767","FICTION / Suspense"
"768","FICTION / Technological"
"769","FICTION / Thrillers"
"770","FINESSE (Computer file)"
"771","FORTH (Computer program language)"
"772","Facial expression"
"773","Fail-safe systems"
"774","Failure analysis"
"775","Failure modes"
"776","Fallbasiertes Schlie©en"
"777","Families"
"778","Family life"
"779","Fantasy"
"780","Fantasy in literature"
"781","Father-daughter relationship"
"782","Fathers and sons"
"783","Fault detection"
"784","Fault tolerance"
"785","Fault-tolerant computing"
"786","Feed forward control"
"787","Feedback control systems"
"788","Feedforward control"
"789","Female Man"
"790","Feminist Philosophy"
"791","Feminist theory"
"792","Fermi National Accelerator Laboratory"
"793","Ficción"
"794","Fiction"
"795","Fiction in English"
"796","Fifth generation computers"
"797","Filosofie"
"798","Finalite"
"799","Finance"
"800","Financial engineering"
"801","Financial services industry"
"802","Fingerprints"
"803","Fire prevention"
"804","Fires"
"805","Flexible manufacturing systems"
"806","Flight control"
"807","Flight crews"
"808","Flight envelopes"
"809","Flight management systems"
"810","Flow distribution"
"811","Flow geometry"
"812","Fluid dynamics (Space environment)"
"813","Flutter analysis"
"814","Fluxomics"
"815","Food science"
"816","Football"
"817","Forecasting"
"818","Foreign economic relations"
"819","Formal languages"
"820","Formal methods (Computer science)"
"821","Formbeschreibung"
"822","Fort Wayne (Ind.)."
"823","Fort Wayne (Ind.). Board of Park Commissioners"
"824","Foveon (Firm)"
"825","Fractals"
"826","Frames (Information theory)"
"827","Frames (Linguistics)"
"828","Français (Langue)"
"829","Free will and determinism"
"830","French"
"831","French language"
"832","Friendship"
"833","Friendship in fiction"
"834","Functions"
"835","Fusion multicapteurs"
"836","Future life"
"837","Future of artificial intelligence"
"838","Fuzzy logic"
"839","Fuzzy sets"
"840","Fuzzy systems"
"841","GMO"
"842","GPS (Computer program)"
"843","Galatea, sea nymph (Greek deity)"
"844","Game Theory"
"845","Game theory"
"846","Games"
"847","Gas detectors"
"848","Gay men"
"849","Geeks (Computer enthusiasts)"
"850","Gehirn"
"851","Gehirn-Computer-Schnittstelle"
"852","Gene Expression Profiling"
"853","General"
"854","General aviation aircraft"
"855","Genetic algorithms"
"856","Genetic engineering"
"857","Genetics"
"858","Genius"
"859","Genomics"
"860","Genres & Styles"
"861","Geographic information systems"
"862","Geographical perception"
"863","Geography"
"864","Geological surveys"
"865","Geology"
"866","Geometry"
"867","Geophysics"
"868","German"
"869","German language"
"870","Gesellschaft"
"871","Gestion des connaissances"
"872","Gestion du risque"
"873","Gewalt"
"874","Gijutsu kaihatsu"
"875","Global system for mobile communications"
"876","Go del's theorem"
"877","Goal (Psychology)"
"878","Golden rule"
"879","Good and evil"
"880","Government policy"
"881","Grading and marking (Students)"
"882","Grammar, Comparative and general"
"883","Graph theory"
"884","Graphic methods"
"885","Grid generation (Mathematics)"
"886","Group decision making"
"887","Group work in education"
"888","Groupes sociaux"
"889","Guidance"
"890","Guidance systems (Flight)"
"891","Génétique"
"892","Gödel's theorem"
"893","Gödelscher Unvollständigkeitssatz"
"894","H.I.V.E (Imaginary organization)"
"895","Hackers"
"896","Halo (Game)"
"897","Handbooks, manuals"
"898","Health Sciences, Nursing"
"899","Health Sciences, Obstetrics and Gynecology"
"900","Health education"
"901","Health services administration"
"902","Hearing"
"903","Heart"
"904","Hedge funds"
"905","Hermanos"
"906","Heuristic"
"907","Heuristic methods"
"908","Heuristic programming"
"909","High performance computing"
"910","High technology industries"
"911","Higher Education"
"912","Highway communications"
"913","Histoire"
"914","Historical"
"915","Historiography"
"916","History"
"917","History and criticism"
"918","History of Religious Concepts"
"919","Hitchhiker"
"920","Holography"
"921","Homme"
"922","Homological Algebra"
"923","Homology theory"
"924","Horror"
"925","Horror stories"
"926","Household electronics"
"927","Hubble Space Telescope"
"928","Hugo Award Winner"
"929","Human behavior"
"930","Human beings"
"931","Human body"
"932","Human engineering"
"933","Human evolution"
"934","Human face recognition (Computer science)"
"935","Human factors"
"936","Human factors engineering"
"937","Human information processing"
"938","Human mechanics"
"939","Human physiology"
"940","Human-alien encounters"
"941","Human-computer interaction"
"942","Human-computer interactions"
"943","Human-computer interface"
"944","Human-machine systems"
"945","Humanism"
"946","Humanities"
"947","Humility"
"948","Hybrid computers"
"949","Hybrid systems"
"950","Hydrology"
"951","Hypertext systems"
"952","Hören"
"953","IBM Personal Computer"
"954","INTELIGÊNCIA ARTIFICIAL"
"955","IT & Programming"
"956","Identification"
"957","Identification biométrique"
"958","Identity"
"959","Identity (Psychology)"
"960","Identity (Psychology) in youth"
"961","Image Enhancement"
"962","Image Interpretation, Computer-Assisted"
"963","Image Processing and Computer Vision"
"964","Image Processing, Computer-Assisted"
"965","Image analysis"
"966","Image processing"
"967","Imagery (Psychology)"
"968","Imaginary wars and battles"
"969","Imagination"
"970","Imaging"
"971","Imaging systems"
"972","Imaging systems in medicine"
"973","Imaging techniques"
"974","Immersion <Virtuelle Realität>"
"975","Immortalism"
"976","Immortality"
"977","Immune system"
"978","Immunocomputers"
"979","Immunology"
"980","In Library"
"981","In infancy & childhood"
"982","In library"
"983","In popular culture"
"984","Inconsistency (Logic)"
"985","Indexes"
"986","Indexing"
"987","Indigenous Knowledge"
"988","Individual Photographer"
"989","Individuality"
"990","Induction (Logic)"
"991","Induction (Mathematics)"
"992","Inductive bias"
"993","Industrial Robots"
"994","Industrial applications"
"995","Industrial electronics"
"996","Industrial engineering"
"997","Industrial management"
"998","Industries"
"999","Inference"
"1000","Inferenz (Künstliche Intelligenz)"
"1001","Inferenz <Künstliche Intelligenz>"
"1002","Informatica"
"1003","Informatics"
"1004","Informatietechnologie"
"1005","Information Retrieval"
"1006","Information Services"
"1007","Information Systems"
"1008","Information Systems Applications (incl. Internet)"
"1009","Information Technology and System Integration"
"1010","Information Theory"
"1011","Information dissemination"
"1012","Information management"
"1013","Information modeling"
"1014","Information networks"
"1015","Information organization"
"1016","Information resources management"
"1017","Information retrieval"
"1018","Information retrieval-systemen"
"1019","Information science"
"1020","Information services"
"1021","Information services industry"
"1022","Information society"
"1023","Information storage and retrieval systems"
"1024","Information systems"
"1025","Information technology"
"1026","Information theory"
"1027","Information theory in biology"
"1028","Information theory in psychology"
"1029","Information warfare"
"1030","Information, Theorie de l'"
"1031","Information, Traitement de l', chez l'homme"
"1032","Informationstechnik"
"1033","Informationsverarbeitung"
"1034","Informatique"
"1035","Inférence"
"1036","Ingenieurbau"
"1037","Innate Principles"
"1038","Innate order"
"1039","Innateness"
"1040","Innovations"
"1041","Inorganic compounds"
"1042","Insect societies"
"1043","Insects"
"1044","Inspection"
"1045","Instructional systems"
"1046","Integrated circuits"
"1047","Integration (Theory of knowledge)"
"1048","Integration Technology of Automation Systems"
"1049","Inteligencia"
"1050","Inteligencia Artificial"
"1051","Inteligencia Artificial (Computacao)"
"1052","Inteligencia artificial"
"1053","Inteligencia artificial (computacao)"
"1054","Intellect"
"1055","Intellect (philosophie)"
"1056","Intellect."
"1057","Intellectual property"
"1058","Intelligence"
"1059","Intelligence (AI) & Semantics"
"1060","Intelligence Studies"
"1061","Intelligence artificielle"
"1062","Intelligence artificielle en médecine"
"1063","Intelligence artificielle repartie"
"1064","Intelligence informatique"
"1065","Intelligent Vehicle Highway Systems"
"1066","Intelligent agents (Computer software)"
"1067","Intelligent buildings"
"1068","Intelligent control systems"
"1069","Intelligent turoring systems"
"1070","Intelligent tutoring systems"
"1071","Intelligent user interface"
"1072","Intelligentie"
"1073","Intelligenza artificiale - Aspetti sociali"
"1074","Intention"
"1075","Intentionalism"
"1076","Intentionality (Philosophy)"
"1077","Interacción hombre-computadora"
"1078","Interactive computer systems"
"1079","Interactive control"
"1080","Interactive multimedia"
"1081","Interactive video"
"1082","Interaktive Medien"
"1083","Interazione uomo-elaboratore"
"1084","Interfaces"
"1085","Internal Auditing"
"1086","International Space Station"
"1087","International economic relations"
"1088","International relations"
"1089","Internet"
"1090","Internet (Computer network)"
"1091","Internet Archive Wishlist"
"1092","Internet en éducation"
"1093","Internet in education"
"1094","Internet searching"
"1095","Interpersonal relations"
"1096","Interplanetary travel"
"1097","Interplanetary voyages"
"1098","Interpretation and construction"
"1099","Interstellar communication"
"1100","Intuition"
"1101","Intuition (Psychology)"
"1102","Invariantology"
"1103","Inventions"
"1104","Inventory control"
"1105","Investigation"
"1106","Investments"
"1107","Italian and English"
"1108","JUVENILE FICTION"
"1109","James T. Kirk (Fictitious character)"
"1110","Japanese language"
"1111","Java (Computer program language)"
