"workid","authorid"
"OL13300342W","OL6199963A"
"OL13573153W","OL6434980A"
"OL15525178W","OL6845963A"
"OL16661770W","OL7134917A"
"OL16878730W","OL1075484A"
"OL16940510W","OL3323241A"
"OL16945661W","OL7205206A"
"OL16955475W","OL3227938A"
"OL2269976W","OL296321A"
"OL4775680W","OL1003067A"
"OL4868597W","OL1036486A"
"OL4935127W","OL1060495A"
"OL4956560W","OL1069415A"
"OL6048412W","OL1522758A"
"OL7801502W","OL2466544A"
"OL9383190W","OL3419892A"
"OL11174243W","OL4666456A"
"OL11528174W","OL4848955A"
"OL11671458W","OL4938475A"
"OL12242796W","OL5340652A"
"OL12351197W","OL5423643A"
"OL13653896W","OL6509857A"
"OL15319226W","OL6732640A"
"OL15537880W","OL6864355A"
"OL15932717W","OL6940654A"
"OL16954031W","OL3872357A"
"OL16992086W","OL7214251A"
"OL17927212W","OL2682899A"
"OL17985803W","OL1126560A"
"OL2645861W","OL385652A"
"OL3915363W","OL712823A"
"OL4623009W","OL948372A"
"OL4780988W","OL1004653A"
"OL5009675W","OL1086716A"
"OL9176810W","OL3247412A"
"OL9448441W","OL3475951A"
"OL12003334W","OL5179570A"
"OL13311867W","OL6210132A"
"OL15840237W","OL19494A"
"OL16463206W","OL7066401A"
"OL1690641W","OL191686A"
"OL16946309W","OL7205357A"
"OL16960378W","OL7207953A"
"OL16968154W","OL7113454A"
"OL16984167W","OL7212624A"
"OL3256775W","OL530636A"
"OL3344696W","OL542612A"
"OL3984571W","OL731042A"
"OL4804931W","OL1011515A"
"OL5266626W","OL1191227A"
"OL5358273W","OL1233552A"
"OL5742304W","OL1396260A"
"OL8057669W","OL2682527A"
"OL8226087W","OL2736700A"
"OL8362466W","OL2784978A"
"OL13578166W","OL6439702A"
"OL15977086W","OL6953010A"
"OL16478704W","OL4500069A"
"OL16643670W","OL7128309A"
"OL16872016W","OL7187773A"
"OL1889398W","OL226165A"
"OL1950416W","OL233881A"
"OL3089073W","OL483268A"
"OL3127795W","OL494158A"
"OL4105712W","OL769691A"
"OL4187989W","OL794787A"
"OL4464228W","OL890013A"
"OL4470535W","OL891491A"
"OL4886673W","OL1043087A"
"OL5756948W","OL1400840A"
"OL8053987W","OL2678876A"
"OL8711180W","OL2951974A"
"OL15179669W","OL6263304A"
"OL16450655W","OL7062200A"
"OL16945382W","OL541899A"
"OL16971943W","OL7210182A"
"OL16996931W","OL3227058A"
"OL1830229W","OL219254A"
"OL18628W","OL24282A"
"OL2068700W","OL253094A"
"OL2670321W","OL389546A"
"OL2713138W","OL396851A"
"OL2896994W","OL440500A"
"OL2896994W","OL772166A"
"OL4301395W","OL835706A"
"OL5136714W","OL1134858A"
"OL6026346W","OL1513719A"
"OL716844W","OL57437A"
"OL7957595W","OL2655302A"
"OL8823682W","OL3018664A"
"OL9247081W","OL3303894A"
"OL10080804W","OL4062264A"
"OL10099815W","OL4084463A"
"OL11867396W","OL5078889A"
"OL12711694W","OL5689644A"
"OL16920155W","OL2840121A"
"OL16944621W","OL7202320A"
"OL2645865W","OL385652A"
"OL3336344W","OL540690A"
"OL4147543W","OL781064A"
"OL4484299W","OL894948A"
"OL4628835W","OL949981A"
"OL4781774W","OL1004917A"
"OL11061250W","OL4613110A"
"OL11512268W","OL4839259A"
"OL12043198W","OL5204005A"
"OL12074329W","OL5224325A"
"OL12512678W","OL5542843A"
"OL13330981W","OL6227198A"
"OL15409533W","OL6831270A"
"OL15494423W","OL6604262A"
"OL16944497W","OL7204954A"
"OL16944750W","OL811962A"
"OL16956919W","OL7203994A"
"OL16992209W","OL541899A"
"OL2728134W","OL399470A"
"OL458463W","OL26829A"
"OL4702293W","OL973742A"
"OL5356459W","OL1233061A"
"OL8561937W","OL2870952A"
"OL9604110W","OL3603033A"
"OL12232069W","OL5331228A"
"OL12301679W","OL5386150A"
"OL12608976W","OL5615482A"
"OL13260975W","OL6164812A"
"OL16942351W","OL3090949A"
"OL16944472W","OL7130302A"
"OL16959975W","OL541899A"
"OL1859434W","OL222621A"
"OL4097204W","OL767594A"
"OL4777711W","OL1003667A"
"OL4975395W","OL1074715A"
"OL5260010W","OL1189221A"
"OL6223632W","OL1608022A"
"OL8003865W","OL2664030A"
"OL8926474W","OL3083908A"
"OL9147122W","OL3227287A"
"OL11163976W","OL4661109A"
"OL11670560W","OL4937755A"
"OL12005536W","OL5181286A"
"OL12025185W","OL5192380A"
"OL13668750W","OL6524252A"
"OL15916459W","OL6936602A"
"OL16928361W","OL7201806A"
"OL16965605W","OL7208999A"
"OL17471130W","OL4836618A"
"OL17582243W","OL7212937A"
"OL2062197W","OL251874A"
"OL3346065W","OL542834A"
"OL3455572W","OL575533A"
"OL4441523W","OL883850A"
"OL4446863W","OL885218A"
"OL4646717W","OL954651A"
"OL4782563W","OL1005238A"
"OL4843864W","OL1026606A"
"OL9074805W","OL3178272A"
"OL9761998W","OL3751327A"
"OL9890216W","OL3872396A"
"OL11546835W","OL4861100A"
"OL12564054W","OL5581513A"
"OL12639862W","OL5636728A"
"OL13165979W","OL6070492A"
"OL13573886W","OL6435691A"
"OL15190115W","OL6817619A"
"OL15595862W","OL6876230A"
"OL16919898W","OL755614A"
"OL16942270W","OL7204427A"
"OL16946425W","OL7205394A"
"OL16951366W","OL6707910A"
"OL16956899W","OL7207372A"
"OL16980597W","OL7207943A"
"OL1885622W","OL225725A"
"OL2622934W","OL382099A"
"OL2828901W","OL422488A"
"OL3256851W","OL530662A"
"OL4465100W","OL890188A"
"OL4698061W","OL972130A"
"OL6321657W","OL1652314A"
"OL7833508W","OL2493317A"
"OL8003283W","OL2663695A"
"OL8273141W","OL2752573A"
"OL9098130W","OL3197510A"
"OL10633889W","OL4427303A"
"OL11896058W","OL5099634A"
"OL15284495W","OL2636492A"
"OL16946994W","OL7205515A"
"OL16960910W","OL2680861A"
"OL17992226W","OL1915693A"
"OL17992226W","OL30688A"
"OL4698059W","OL972130A"
"OL4866715W","OL1035810A"
"OL6714740W","OL1817340A"
"OL8056132W","OL2680862A"
"OL8057368W","OL2682172A"
"OL8446128W","OL2816666A"
"OL11276664W","OL4728661A"
"OL12353229W","OL5425165A"
"OL13432039W","OL6317741A"
"OL13643521W","OL6499605A"
"OL16263614W","OL7035059A"
"OL16342616W","OL7049150A"
"OL16945413W","OL7100958A"
"OL17919031W","OL7421254A"
"OL2018315W","OL243471A"
"OL3258059W","OL530890A"
"OL3808896W","OL675784A"
"OL5305508W","OL1206462A"
"OL5910265W","OL1458968A"
"OL9049633W","OL3162373A"
"OL9676934W","OL3671665A"
"OL11826749W","OL5049489A"
"OL16930427W","OL401127A"
"OL16954106W","OL7204580A"
"OL16980374W","OL7211813A"
"OL17550792W","OL7345911A"
"OL2300633W","OL303516A"
"OL3233862W","OL526877A"
"OL3835233W","OL684754A"
"OL3927655W","OL715497A"
"OL4787656W","OL1006870A"
"OL8206898W","OL2731314A"
"OL9890256W","OL3872451A"
"OL11272424W","OL4726622A"
"OL12618179W","OL5622259A"
"OL12711881W","OL5689812A"
"OL13005750W","OL5918630A"
"OL13085758W","OL5987096A"
"OL16179690W","OL1494885A"
"OL16918790W","OL614941A"
"OL16921185W","OL7200674A"
"OL16955807W","OL3064434A"
"OL16958989W","OL7207728A"
"OL4299934W","OL835268A"
"OL4973283W","OL1074031A"
"OL611287W","OL47148A"
"OL10504284W","OL4358937A"
"OL11147675W","OL4653887A"
"OL12722824W","OL5698401A"
"OL15987774W","OL6956313A"
"OL16612576W","OL7116968A"
"OL16940567W","OL3179989A"
"OL16954401W","OL6943222A"
"OL16955420W","OL980338A"
"OL16969931W","OL1007046A"
"OL17403407W","OL7206837A"
"OL2149267W","OL269799A"
"OL2463710W","OL342699A"
"OL4372878W","OL859978A"
"OL4733837W","OL985624A"
"OL4866711W","OL1035810A"
"OL4884746W","OL1042483A"
"OL5103774W","OL1123929A"
"OL5742065W","OL1396163A"
"OL11709614W","OL4965357A"
"OL12368133W","OL5436038A"
"OL13217995W","OL6125845A"
"OL13847318W","OL6716967A"
"OL16974552W","OL7210609A"
"OL17897948W","OL3616623A"
"OL257997W","OL22866A"
"OL2665263W","OL388722A"
"OL4984232W","OL1077502A"
"OL7076736W","OL1993480A"
"OL7834428W","OL2494094A"
"OL8056719W","OL2681485A"
"OL8057778W","OL2682658A"
"OL8226453W","OL2736927A"
"OL8616128W","OL2897227A"
"OL9223378W","OL3284896A"
"OL11973591W","OL5157088A"
"OL12327278W","OL5405641A"
"OL12341018W","OL5415927A"
"OL12496738W","OL5530898A"
"OL12700637W","OL5681341A"
"OL12837094W","OL5786178A"
"OL12925847W","OL5854218A"
"OL13517928W","OL6386051A"
"OL13568526W","OL6430861A"
"OL14852714W","OL20721A"
"OL15365675W","OL1092691A"
"OL15441575W","OL591394A"
"OL16944396W","OL7202858A"
"OL3571238W","OL602410A"
"OL4648405W","OL955160A"
"OL5260208W","OL1189302A"
"OL7383620W","OL2207035A"
"OL10298638W","OL4256851A"
"OL10644046W","OL4433951A"
"OL13394432W","OL6284340A"
"OL16294328W","OL23206A"
"OL16634344W","OL7124968A"
"OL16898861W","OL7195248A"
"OL16923064W","OL7200967A"
"OL16932985W","OL4765070A"
"OL16936088W","OL6869048A"
"OL2465670W","OL343157A"
"OL2998831W","OL459900A"
"OL3474170W","OL579149A"
"OL3759707W","OL661174A"
"OL4286624W","OL831681A"
"OL4289078W","OL832360A"
"OL5091014W","OL1120365A"
"OL5103380W","OL1123833A"
"OL5366620W","OL1236187A"
"OL7215937W","OL2075352A"
"OL7246278W","OL2103717A"
"OL8264776W","OL2749918A"
"OL8856018W","OL3039499A"
"OL9002821W","OL3132127A"
"OL10573101W","OL4393121A"
"OL11506584W","OL4836524A"
"OL11671820W","OL4938767A"
"OL12332454W","OL5409625A"
"OL13636971W","OL6493385A"
"OL16798821W","OL7167640A"
"OL16864221W","OL7181541A"
"OL16944189W","OL7204872A"
"OL16953725W","OL541899A"
"OL1930435W","OL231568A"
"OL3900759W","OL709436A"
"OL4442999W","OL884170A"
"OL4540024W","OL914993A"
"OL477679W","OL29916A"
"OL5273035W","OL1193480A"
"OL5273286W","OL1193574A"
"OL6660623W","OL1799888A"
"OL9170703W","OL3243106A"
"OL9219457W","OL3281630A"
"OL9334907W","OL3380136A"
"OL11201222W","OL4682159A"
"OL15588923W","OL6874065A"
"OL16668592W","OL7137720A"
"OL16916435W","OL7199629A"
"OL16928113W","OL7201763A"
"OL18011448W","OL533340A"
"OL18011448W","OL948449A"
"OL3254745W","OL530225A"
"OL4306812W","OL837139A"
"OL4621207W","OL947880A"
"OL6040277W","OL1519385A"
"OL6224901W","OL1608491A"
"OL66093W","OL21522A"
"OL8361077W","OL2783693A"
"OL10813894W","OL4519487A"
"OL12274134W","OL5364502A"
"OL12463891W","OL5506748A"
"OL16009965W","OL2840143A"
"OL16498985W","OL1436501A"
"OL16633337W","OL7124548A"
"OL16633337W","OL7124549A"
"OL16633337W","OL7124550A"
"OL16664333W","OL394164A"
"OL16955710W","OL6843544A"
"OL17268350W","OL1604887A"
"OL17403665W","OL7304089A"
"OL2619830W","OL381637A"
"OL3367701W","OL548017A"
